画 畫
畅 暢
亩 畝
毕 畢
画 畫
异 異
留 畱
畲 佘
畴 疇
当 當
畴 疇
迭 疊
疖 癤
疗 療
疟 瘧
疠 癘
疡 瘍
疬 鬁
疮 瘡
疯 瘋
疱 皰
疴 屙
痈 癰
痉 痙
痒 癢
痖 瘂
痉 痙
酸 痠
痨 癆
痪 瘓
痫 癇
痴 癡
痹 痺
痖 瘂
瘅 癉
瘆 瘮
愈 瘉
疯 瘋
疡 瘍
痪 瘓
瘗 瘞
瘘 瘺
瘗 瘞
疮 瘡
疟 瘧
瘪 癟
瘫 癱
瘆 瘮
瘘 瘺
瘘 瘻
瘾 癮
瘿 癭
疗 療
痨 癆
痫 癇
瘅 癉
愈 癒
疠 癘
癞 癩
瘪 癟
痴 癡
痒 癢
癣 癬
疖 癤
症 癥
疬 癧
癞 癩
癫 癲
癣 癬
瘿 癭
瘾 癮
癯 臒
痈 癰
瘫 癱
癫 癲
发 發
皑 皚
皑 皚
疱 皰
皱 皺
皲 皸
皲 皸
皱 皺
杯 盃
盏 盞
盐 鹽
监 監
盖 蓋
盗 盜
盘 盤
盗 盜
盏 盞
尽 盡
监 監
盘 盤
卢 盧
荡 盪
眍 瞘
视 眎
视 眡
眦 眥
眦 眥
眬 矓
众 眾
着 著
睁 睜
困 睏
睐 睞
睑 瞼
睁 睜
睐 睞
瞆 瞶
瞒 瞞
眍 瞘
瞒 瞞
瞩 矚
睑 瞼
蒙 矇
眬 矓
瞩 矚
矫 矯
矫 矯
矶 磯
硅 矽
矾 礬
矿 礦
砀 碭
码 碼
砖 磚
砗 硨
砚 硯
砜 碸
炮 砲
砺 礪
砻 礱
砾 礫
础 礎
硁 硜
朱 硃
硅 矽
硕 碩
硖 硤
硗 磽
硙 磑
硚 礄
硁 硜
硖 硤
砗 硨
确 確
砚 硯
碜 硶
硷 鹼
碍 礙
碛 磧
碜 磣
硕 碩
砀 碭
碱 堿
砜 碸
碹 镟
确 確
码 碼
盘 磐
硙 磑
磙 滾
砖 磚
碜 磣
碛 磧
矶 磯
硗 磽
硚 礄
础 礎
碍 礙
矿 礦
砺 礪
砾 礫
矾 礬
炮 礮
砻 礱
礼 禮
祎 禕
佑 祐
秘 祕
祢 禰
祯 禎
祷 禱
祸 禍
禄 祿
禀 稟
禄 祿
禅 禪
祸 禍
祯 禎
祎 禕
御 禦
禅 禪
礼 禮
祢 禰
祷 禱
离 離
秃 禿
秃 禿
秆 稈
籼 秈
种 種
积 積
称 稱
秽 穢
秾 穠
税 稅
稆 穭
秆 稈
税 稅
棱 稜
禀 稟
稣 穌
秸 稭
种 種
称 稱
稳 穩
谷 穀
稣 穌
积 積
颖 穎
穑 穡
秾 穠
穑 穡
秽 穢
颓 穨
稳 穩
获 穫
稆 穭
穷 窮
窃 竊
窍 竅
窑 窯
窜 竄
窝 窩
窥 窺
窦 竇
窝 窩
洼 窪
窭 窶
穷 窮
窑 窯
窑 窰
窭 窶
窥 窺
窜 竄
窍 竅
窦 竇
灶 竈
窃 竊
竖 豎
并 竝
竞 競
竖 竪
竞 競
笃 篤
笋 筍
笔 筆
笕 筧
笺 箋
笼 籠
笾 籩
笔 筆
笋 筍
筑 築
筚 篳
筛 篩
筜 簹
筝 箏
